"term","Y2","Y3","Y4","Y5","OR_Y2","OR_Y3","OR_Y4","OR_Y5"
"(Intercept)",-0.0827191658391451,-0.416110092254733,-1.20114064573021,-2.85517650208527,0.920609649558691,0.659607648793625,0.300850851883725,0.0575456632949079
"DHHGAGE.L",0.643189344384453,0.677098032726533,0.686098697389871,0.198796050706981,1.90253906563358,1.96815790703654,1.98595259825474,1.21993313602577
"DHHGAGE.Q",0.385192041876102,0.350319954228364,0.71131872837512,0.679103567202404,1.46989657603406,1.41952165789899,2.03667531001265,1.97210907635184
"DHHGAGE.C",-0.00271219793452185,0.0121406671536476,0.237767504284786,0.474909912284732,0.997291476751387,1.01221466420777,1.26841425766064,1.60786934168557
"DHHGAGE^4",0.0199761062884273,0.00833514566571951,-0.280564260356411,-0.538169042691545,1.02017696392141,1.00836997970736,0.755357402946673,0.583816216946078
"DHHGAGE^5",0.00711957972098404,-0.0315452308472768,-0.105196676824213,0.234605166658528,1.0071449841826,0.968947129162956,0.900147467030335,1.26440943915954
"DHHGAGE^6",0.17510594215459,0.191136930885537,0.0542943983545897,0.501395362704156,1.19137242648855,1.2106252127146,1.05579538082937,1.65102344067834
"DHHGAGE^7",0.028616662569818,0.00283393175535517,-0.066480497577856,-0.0184476133063217,1.02903005312258,1.00283795113594,0.935681163727439,0.981721502388337
"DHHGAGE^8",-0.120504859845937,-0.191182228225819,0.0394815733251842,0.198815771792607,0.886472779213776,0.825982057191276,1.04027132996683,1.21995719466884
"DHH_SEX.L",-0.0518317604447483,-0.0438164045991404,-0.205908734328005,0.0842009373497382,0.94948859494515,0.957129665947614,0.813907354695003,1.08784746103467
"EDUDH04.L",0.0298378943771822,0.0252754571723804,-0.0628968881126503,-0.0147941327192064,1.03028750501804,1.02559758983064,0.939040294914444,0.985314762795959
"EDUDH04.Q",-0.116408052127712,-0.0878716732940223,-0.0192972031367513,-0.300856661978825,0.890111937112822,0.915878400840679,0.980887795987981,0.740183861633273
"EDUDH04.C",0.1678740263697,0.167381718693121,0.0258828860499458,-0.449979897575857,1.18278760121438,1.18220544910927,1.02622075666907,0.637640969622159
"IN2GPER.L",-0.196901877714028,-0.175024342079476,-0.649376821537711,-0.489400831781651,0.821271214368151,0.839436586888394,0.522371205835085,0.612993570438719
"IN2GPER.Q",-0.0612987629445156,0.0181278493158219,-0.122687323037514,0.0336609355625296,0.940542198639055,1.01829315615124,0.884540194667224,1.03423387534405
"IN2GPER.C",0.00470473683627854,0.0252144443414476,-0.0907350915274788,-0.25797918264237,1.00471582148727,1.02553501712717,0.913259609065467,0.772611315665586
"IN2GPER^4",-0.123111205180808,-0.13741921027215,-0.0933777869984906,-0.232141643266995,0.884165333327805,0.871604763864427,0.910849328254574,0.792833815781218
"IN2GPER^5",0.0134022612759481,-0.0135843575282437,-0.104026553347238,0.0335637790296917,1.01349247414791,0.986507493473802,0.901201367190658,1.03413339764769
"PA2DSCR",0.000809254278357869,0.000731796021370278,-0.0020994601131563,-0.00443143389905461,1.00080958181295,1.00073206384941,0.997902742211726,0.995578370416408
"SSADEMO.L",0.2780488661478,0.650386304831035,-0.112327780098178,3.10510952291007,1.3205507258594,1.91628095463804,0.893751255608576,22.3116624796667
"SSADEMO.Q",-0.806577291311301,-0.744514794368994,-1.20350002767372,-2.67748360187958,0.446383294508497,0.474964699586558,0.300141866528613,0.0687359036085648
"SSADEMO.C",0.39633007650302,0.275159795120232,0.507383586508713,3.15214809996468,1.48635984905168,1.31674106685446,1.66093979960358,23.3862466592086
"SSADEMO^4",-0.195163564623622,-0.100150650948927,-0.160812786916001,-2.70401471571757,0.822700082421077,0.904701113687755,0.851451459040454,0.0669362425946613
"SSADEMO^5",-0.254647153631836,-0.139006687500654,0.180528829176355,1.00084480758807,0.77518997267746,0.870222208827202,1.19785065403046,2.72057922386615
"SSADEMO^6",0.52376197142546,0.223114432706162,0.0642571559173427,0.294245266419335,1.68836730698187,1.24996360226987,1.0663665859832,1.34211303856176
"SSADEMO^7",-0.2001700757216,-0.0025021240921644,-0.101961444256253,-2.22652729315323,0.818591518694886,0.997501003611144,0.903064369316073,0.107902493982467
"SSADEMO^8",0.0312225850596799,-0.0528183135417808,0.478836340882406,4.63424354197003,1.03171512270288,0.948552335941757,1.61419493622101,102.950011169687
"SSADEMO^9",-0.000315717929848213,0.0109633577918876,-0.40288487579383,-5.65587735582955,0.999684331903813,1.01102367562606,0.668389042652404,0.00349690371168017
"SSADEMO^10",0.105757507214421,0.0500473605302279,0.450119952645187,3.97279142989091,1.11155230040908,1.05132088631159,1.56850031996869,53.1326400649037
"SSADEMO^11",0.128131223747391,0.206411481938313,0.374369805989398,-2.26840359045559,1.13670215522715,1.22925891778431,1.45407477660346,0.103477240350277
"SSADEMO^12",-0.383634451312719,-0.361096928847566,-0.13378477499614,2.67816138736095,0.681380459392544,0.696911444369797,0.874778318511111,14.5583015963315
"SSADEMO^13",0.0476701511122657,0.146460091210789,-0.360806829978178,-3.53252165919239,1.04882464461953,1.15772872634478,0.69711364691982,0.0292311119498341
"SSADEMO^14",-0.0211066366534107,-0.165439072323474,-0.516330447326716,1.03206657308923,0.979114549503457,0.847521499147626,0.596706180129915,2.80686042738663
"SSADEMO^15",0.23781191584011,0.326123151809801,0.21097878024622,-0.768386919775828,1.26847059116153,1.38558599578908,1.2348861508033,0.463760548245724
"SSADEMO^16",0.129687352142736,-0.232052714413687,0.0476965230941911,0.843123122694392,1.13847238672447,0.792904324718412,1.04885230456882,2.323612583625
